transaction_id,transaction_date,transaction_time,entity,transaction_type,transaction_user,type,serviceunit,amount,balance,reconciled,period,comment
1081.beehoon2-pbs.mbi.nus.edu.sg,2020-09-22,15:09:23.407339,job,acquired,zgqi,debit,cpu_hrs,2.0,99999998.0,yes,my2024,
1081.beehoon2-pbs.mbi.nus.edu.sg,2020-09-22,15:09:23.407339,job,acquired,zgqi,debit,gpu_hrs,0.0,100000000.0,yes,my2024,
1082.beehoon2-pbs.mbi.nus.edu.sg,2020-09-22,15:32:52.796187,job,acquired,zgqi,debit,gpu_hrs,0.0,100000000.0,yes,my2024,
1082.beehoon2-pbs.mbi.nus.edu.sg,2020-09-22,15:32:52.796187,job,acquired,zgqi,debit,cpu_hrs,3072.0,99996926.0,yes,my2024,
1083.beehoon2-pbs.mbi.nus.edu.sg,2020-09-22,15:42:03.832515,job,acquired,zgqi,debit,cpu_hrs,3072.0,99993854.0,yes,my2024,
1083.beehoon2-pbs.mbi.nus.edu.sg,2020-09-22,15:42:03.832515,job,acquired,zgqi,debit,gpu_hrs,0.0,100000000.0,yes,my2024,
1085.beehoon2-pbs.mbi.nus.edu.sg,2020-09-22,16:08:26.107657,job,acquired,zgqi,debit,cpu_hrs,3072.0,99990782.0,yes,my2024,
1085.beehoon2-pbs.mbi.nus.edu.sg,2020-09-22,16:08:26.107657,job,acquired,zgqi,debit,gpu_hrs,0.0,100000000.0,yes,my2024,
1086.beehoon2-pbs.mbi.nus.edu.sg,2020-09-22,16:16:14.249871,job,acquired,zgqi,debit,cpu_hrs,3072.0,99987710.0,yes,my2024,
1086.beehoon2-pbs.mbi.nus.edu.sg,2020-09-22,16:16:14.249871,job,acquired,zgqi,debit,gpu_hrs,0.0,100000000.0,yes,my2024,
1089.beehoon2-pbs.mbi.nus.edu.sg,2020-09-23,14:43:22.279085,job,acquired,zgqi,debit,gpu_hrs,1.0,99999999.0,yes,my2024,
1089.beehoon2-pbs.mbi.nus.edu.sg,2020-09-23,14:43:22.279085,job,acquired,zgqi,debit,cpu_hrs,1.0,99987709.0,yes,my2024,
1090.beehoon2-pbs.mbi.nus.edu.sg,2020-09-23,14:48:53.854465,job,acquired,zgqi,debit,cpu_hrs,1.0,99987708.0,yes,my2024,
1090.beehoon2-pbs.mbi.nus.edu.sg,2020-09-23,14:48:53.854465,job,acquired,zgqi,debit,gpu_hrs,2.0,99999997.0,yes,my2024,
1091.beehoon2-pbs.mbi.nus.edu.sg,2020-09-23,15:04:24.852507,job,acquired,zgqi,debit,cpu_hrs,1.0,99987707.0,yes,my2024,
1091.beehoon2-pbs.mbi.nus.edu.sg,2020-09-23,15:04:24.852507,job,acquired,zgqi,debit,gpu_hrs,3.0,99999994.0,yes,my2024,
1092.beehoon2-pbs.mbi.nus.edu.sg,2020-09-23,15:13:54.489246,job,acquired,zgqi,debit,gpu_hrs,24.0,99999970.0,yes,my2024,
1092.beehoon2-pbs.mbi.nus.edu.sg,2020-09-23,15:13:54.489246,job,acquired,zgqi,debit,cpu_hrs,24.0,99987683.0,yes,my2024,
1093.beehoon2-pbs.mbi.nus.edu.sg,2020-09-23,15:14:18.209760,job,acquired,zgqi,debit,cpu_hrs,24.0,99987659.0,yes,my2024,
1093.beehoon2-pbs.mbi.nus.edu.sg,2020-09-23,15:14:18.209760,job,acquired,zgqi,debit,gpu_hrs,24.0,99999946.0,yes,my2024,
1094.beehoon2-pbs.mbi.nus.edu.sg,2020-09-23,15:14:20.295555,job,acquired,zgqi,debit,cpu_hrs,24.0,99987635.0,yes,my2024,
1094.beehoon2-pbs.mbi.nus.edu.sg,2020-09-23,15:14:20.295555,job,acquired,zgqi,debit,gpu_hrs,24.0,99999922.0,yes,my2024,
1095.beehoon2-pbs.mbi.nus.edu.sg,2020-09-23,15:14:21.281281,job,acquired,zgqi,debit,cpu_hrs,24.0,99987611.0,yes,my2024,
1095.beehoon2-pbs.mbi.nus.edu.sg,2020-09-23,15:14:21.281281,job,acquired,zgqi,debit,gpu_hrs,24.0,99999898.0,yes,my2024,
1096.beehoon2-pbs.mbi.nus.edu.sg,2020-09-23,15:14:22.742581,job,acquired,zgqi,debit,gpu_hrs,24.0,99999874.0,yes,my2024,
