transaction_id,transaction_date,transaction_time,entity,transaction_type,transaction_user,type,serviceunit,amount,balance,reconciled,period,comment
1891.beehoon2-pbs.mbi.nus.edu.sg,2020-10-05,09:28:58.114583,job,acquired,zgqi,debit,cpu_hrs,1.0,99979046.3429998,yes,my2024,
1891.beehoon2-pbs.mbi.nus.edu.sg,2020-10-05,09:28:58.114583,job,acquired,zgqi,debit,gpu_hrs,1.0,99999998.835,yes,my2024,
1891.beehoon2-pbs.mbi.nus.edu.sg,2020-10-05,10:08:57.411446,job,released,zgqi,credit,cpu_hrs,0.335,99979046.6779998,yes,my2024,
1891.beehoon2-pbs.mbi.nus.edu.sg,2020-10-05,10:08:57.411446,job,released,zgqi,credit,gpu_hrs,0.335,99999999.17,yes,my2024,
1892.beehoon2-pbs.mbi.nus.edu.sg,2020-10-05,14:19:13.852270,job,acquired,zgqi,debit,cpu_hrs,1.0,99979045.6779998,yes,my2024,
1892.beehoon2-pbs.mbi.nus.edu.sg,2020-10-05,14:19:13.852270,job,acquired,zgqi,debit,gpu_hrs,1.0,99999998.17,yes,my2024,
1892.beehoon2-pbs.mbi.nus.edu.sg,2020-10-05,15:00:57.618390,job,released,zgqi,credit,gpu_hrs,0.336,99999998.506,yes,my2024,
1892.beehoon2-pbs.mbi.nus.edu.sg,2020-10-05,15:00:57.618390,job,released,zgqi,credit,cpu_hrs,0.336,99979046.0139998,yes,my2024,
1893.beehoon2-pbs.mbi.nus.edu.sg,2020-10-06,08:32:48.439389,job,acquired,zgqi,debit,cpu_hrs,64.0,99978982.0139998,yes,my2024,
1893.beehoon2-pbs.mbi.nus.edu.sg,2020-10-06,08:32:48.439389,job,acquired,zgqi,debit,gpu_hrs,0.0,99999998.506,yes,my2024,
1893.beehoon2-pbs.mbi.nus.edu.sg,2020-10-06,09:04:57.608928,job,acquired,zgqi,debit,cpu_hrs,0.64,99978981.3739998,yes,my2024,overrun:
1895.beehoon2-pbs.mbi.nus.edu.sg,2020-10-06,16:24:08.176131,job,acquired,zgqi,debit,gpu_hrs,0.0,99999998.506,yes,my2024,
1895.beehoon2-pbs.mbi.nus.edu.sg,2020-10-06,16:24:08.176131,job,acquired,zgqi,debit,cpu_hrs,64.0,99978917.3739998,yes,my2024,
1895.beehoon2-pbs.mbi.nus.edu.sg,2020-10-06,16:54:43.658185,job,acquired,zgqi,debit,cpu_hrs,256.0,99978725.3739998,yes,my2024,alter job acquire
1895.beehoon2-pbs.mbi.nus.edu.sg,2020-10-06,16:54:43.658185,job,acquired,zgqi,debit,gpu_hrs,0.0,99999998.506,yes,my2024,alter job acquire
1895.beehoon2-pbs.mbi.nus.edu.sg,2020-10-06,16:54:43.658185,job,released,zgqi,credit,gpu_hrs,0.0,99999998.506,yes,my2024,alter job reconcile
1895.beehoon2-pbs.mbi.nus.edu.sg,2020-10-06,16:54:43.658185,job,released,zgqi,credit,cpu_hrs,64.0,99978981.3739998,yes,my2024,alter job reconcile
1895.beehoon2-pbs.mbi.nus.edu.sg,2020-10-06,16:54:57.474670,job,released,zgqi,credit,cpu_hrs,190.649,99978916.0229998,yes,my2024,
1896.beehoon2-pbs.mbi.nus.edu.sg,2020-10-06,16:55:29.908172,job,acquired,zgqi,debit,cpu_hrs,128.0,99978788.0229998,yes,my2024,
1896.beehoon2-pbs.mbi.nus.edu.sg,2020-10-06,16:55:29.908172,job,acquired,zgqi,debit,gpu_hrs,0.0,99999998.506,yes,my2024,
1896.beehoon2-pbs.mbi.nus.edu.sg,2020-10-06,17:56:57.529722,job,acquired,zgqi,debit,cpu_hrs,1.387,99978786.6359998,yes,my2024,overrun:
1898.beehoon2-pbs.mbi.nus.edu.sg,2020-10-07,15:27:28.510444,job,acquired,zgqi,debit,gpu_hrs,0.0,99999998.506,yes,my2024,
1898.beehoon2-pbs.mbi.nus.edu.sg,2020-10-07,15:27:28.510444,job,acquired,zgqi,debit,cpu_hrs,4.0,99978782.6359998,yes,my2024,
1898.beehoon2-pbs.mbi.nus.edu.sg,2020-10-07,15:28:58.846721,job,released,zgqi,credit,cpu_hrs,3.989,99978786.6249998,yes,my2024,
1899.beehoon2-pbs.mbi.nus.edu.sg,2020-10-07,15:34:56.162755,job,acquired,zgqi,debit,cpu_hrs,4.0,99978782.6249998,yes,my2024,
1899.beehoon2-pbs.mbi.nus.edu.sg,2020-10-07,15:34:56.162755,job,acquired,zgqi,debit,gpu_hrs,1.0,99999997.506,yes,my2024,
1899.beehoon2-pbs.mbi.nus.edu.sg,2020-10-07,15:36:59.165176,job,released,zgqi,credit,gpu_hrs,0.994,99999998.5,yes,my2024,
1899.beehoon2-pbs.mbi.nus.edu.sg,2020-10-07,15:36:59.165176,job,released,zgqi,credit,cpu_hrs,3.974,99978786.5989998,yes,my2024,
1903.beehoon2-pbs.mbi.nus.edu.sg,2020-10-07,15:49:18.720786,job,acquired,zgqi,debit,cpu_hrs,4.0,99978782.5989998,yes,my2024,
1903.beehoon2-pbs.mbi.nus.edu.sg,2020-10-07,15:49:18.720786,job,acquired,zgqi,debit,gpu_hrs,1.0,99999997.5,yes,my2024,
